label,house,file,py_file,draw
468,House.b18,wwhp.dck,zpy_wwhp.dck,old
469,House.b18,wwhp.dck,zpy_wwhp.dck,old
470,House.b18,wwhp.dck,zpy_wwhp.dck,old
471,House.b18,wwhp.dck,zpy_wwhp.dck,old
472,House.b18,wwhp.dck,zpy_wwhp.dck,old
473,House.b18,wwhp.dck,zpy_wwhp.dck,old
474,House.b18,wwhp.dck,zpy_wwhp.dck,old
475,House.b18,wwhp.dck,zpy_wwhp.dck,old
476,House.b18,wwhp.dck,zpy_wwhp.dck,old
477,House.b18,wwhp.dck,zpy_wwhp.dck,old
478,House.b18,wwhp.dck,zpy_wwhp.dck,old
479,House.b18,wwhp.dck,zpy_wwhp.dck,old
480,House.b18,wwhp.dck,zpy_wwhp.dck,old
